STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TAVG,TMAX,TMIN,AWND,WDF2,WSF2
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20160101,0,-9999,0,37,39,28,6.7,250,15
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20160102,0,-9999,0,33,40,26,8.1,280,19.9
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20160103,0,-9999,0,35,43,28,7.8,260,17
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20160104,0,-9999,0,28,34,9,14.3,360,25.1
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20160105,0,-9999,0,14,27,5,6.5,360,23
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20160106,0,-9999,0,21,43,6,4.3,190,14.1
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20160107,0,-9999,0,26,40,12,2,20,8.1
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20160108,0,-9999,0,28,42,18,6.9,10,14.1
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20160109,0,-9999,0,39,46,35,5.1,10,10.1
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20160110,1.46,-9999,0,45,59,38,9.8,220,29.1
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20160111,0,-9999,0,37,42,18,10.7,250,25.1
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20160112,0.05,-9999,0.3,25,37,16,5.6,180,17
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20160113,0,-9999,0,26,30,15,14.5,300,36
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20160114,0,-9999,0,23,33,16,6.7,260,16.1
GHCND:USW00014740,HARTFORD BRADLEY INTERNATIONAL AIRPORT CT US,20160115,0,-9999,0,32,42,23,4,10,12.1
