TowNum,Tow_Firm,Tow_Firm_Address,Tow_Firm_Phone,Vehicle_State,Vehicle_Plate,Vehicle_Year,Make,Model,Color,Tow_From_Address,Date,Time,geom
334031,,,860-296-8588,CT,746ZSW,2002,PONTIAC,BONNEVILE,SILVER,,03242017,0253,"(41.7692510466381, -72.6916280270324)"
334026,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,CT,928ZKP,2011,CHEV,IMPALA,GRY,,03242017,0027,"(41.7665538726437, -72.6772799452764)"
333976,CAPITOL TOWING,"181-211 WALNUT ST. HARTFORD, CT. 06120",860-293-2442,CT,AH92797,2003,CADILLAC,DEVILLE,BLACK,,03222017,1922,"(41.7855942703735, -72.6801981298977)"
333855,RENO'S AUTO BODY,"525 FRANKLIN AV. HARTFORD, CT 06114",860-296-1518,CT,AF66396,2012,ACURA,TL,WHITE,,03192017,0218,"(41.7542746128539, -72.6798888539605)"
334000,A & N AUTO,"1516,PARK ST,HARTFORD,CT,06106",860-233-7079,CT,529XSG,2007,TOYOTA,SIENNA,GRAY,,03232017,1429,"(41.7582271222684, -72.6794861499492)"
334006,"CORONA'S AUTO PARTS,INC.",608 WETHERSFIELD AV. HARTFORD CT. 06114,860-296-5382,CT,271HXE,2001,VW,PASSAT,BLUE,,03232017,1620,"(41.7603878685587, -72.6773848827661)"
333846,CAPITOL AUTOMOTIVE LLC,"971 CAPITOL AV. HARTFORD,CT 06106",860-236-2602,CT,CO16894,2000,NISS,FRONTIER,GRY,,03182017,1842,"(41.7427019218665, -72.6729307056006)"
333949,,,860-246-6871,NY,HDK5108,2016,NISSAN,ALTIMA,GRAY,,03212017,2133,"(41.7402263859838, -72.6993548558059)"
333903,,,860-296-1426,CT,2AVNG8,2002,NISSAN,SENTRA,BLACK,,03202017,1309,"(41.7437845225073, -72.681366298895)"
334029,,,860-296-8588,CT,2AVTD4,2003,AUDI,A6,SILVER,,03242017,0137,"(41.7719375498634, -72.6898827107933)"
333946,MODERN GARAGE,"100A,AIRPORT RD,HARTFORD,CT,06114",860-296-9663,KY,999WAY,2017,HYUNDAI,SANTA FE,GRAY,,03212017,2021,"(41.7656447527823, -72.6969164895374)"
334025,CENTRAL GARAGE,"36 BOND ST. HARTFORD,CT 06114",860-296-1426,CT,AG35737,2001,FORD,TAURUS,RED,,03232017,2357,"(41.7336123942559, -72.6744737580564)"
